,Company Name,Symbol,Market,Price,Shares,Offer Amount,Date Priced,URL
1233,QIHOO 360 TECHNOLOGY CO LTD,QIHU,New York Stock Exchange,$14.50,"12,110,800","$175,606,600",3/30/2011,http://www.nasdaq.com/markets/ipos/company/qihoo-360-technology-co-ltd-850169-66570
1234,"SERVICESOURCE INTERNATIONAL, INC.",SREV,NASDAQ,$10,"11,940,133","$119,401,330",3/25/2011,http://www.nasdaq.com/markets/ipos/company/servicesource-international-inc-656414-65973
1235,PRIME ACQUISITION CORP,PACQU,Nasdaq Smallcap Market,$10,"3,600,000","$36,000,000",3/25/2011,http://www.nasdaq.com/markets/ipos/company/prime-acquisition-corp-846005-66195
1236,"ARABELLA EXPLORATION, INC.",LOKAF,OTCBB,$8,"4,000,000","$32,000,000",3/21/2011,http://www.nasdaq.com/markets/ipos/company/arabella-exploration-inc-848565-66422
1237,CORNERSTONE ONDEMAND INC,CSOD,NASDAQ,$13,"10,500,000","$136,500,000",3/17/2011,http://www.nasdaq.com/markets/ipos/company/cornerstone-ondemand-inc-746404-65285
1238,MAGNACHIP SEMICONDUCTOR CORP,MX,New York Stock Exchange,$14,"9,500,000","$133,000,000",3/11/2011,http://www.nasdaq.com/markets/ipos/company/magnachip-semiconductor-corp-672432-63611
1239,"HCA HOLDINGS, INC.",HCA,New York Stock Exchange,$30,"126,200,000","$3,786,000,000",3/10/2011,http://www.nasdaq.com/markets/ipos/company/hca-holdings-inc-10298-66010
1240,FRANKLIN FINANCIAL CORP,FRNK,NASDAQ,$10,"12,075,000","$120,750,000",4/28/2011,http://www.nasdaq.com/markets/ipos/company/franklin-financial-corp-843044-65888
1241,RESPONSYS INC,MKTG,NASDAQ,$12,"6,619,654","$79,435,848",4/21/2011,http://www.nasdaq.com/markets/ipos/company/responsys-inc-99512-66015
1242,"21VIANET GROUP, INC.",VNET,NASDAQ,$15,"13,000,000","$195,000,000",4/21/2011,http://www.nasdaq.com/markets/ipos/company/21vianet-group-inc-852025-66765
1243,TESORO LOGISTICS LP,TLLP,New York Stock Exchange,$21,"13,000,000","$273,000,000",4/20/2011,http://www.nasdaq.com/markets/ipos/company/tesoro-logistics-lp-844610-66094
1244,MISSION NEWENERGY LTD,MNEL,NASDAQ,$9,"2,785,000","$25,065,000",4/20/2011,http://www.nasdaq.com/markets/ipos/company/mission-newenergy-ltd-804419-65608
1245,"SAGENT PHARMACEUTICALS, INC.",SGNT,NASDAQ,$16,"5,750,000","$92,000,000",4/20/2011,http://www.nasdaq.com/markets/ipos/company/sagent-pharmaceuticals-inc-715633-65828
1246,AIR LEASE CORP,AL,New York Stock Exchange,$26.50,"30,283,020","$802,500,030",4/19/2011,http://www.nasdaq.com/markets/ipos/company/air-lease-corp-829288-66183
1247,GLOBAL CORNERSTONE HOLDINGS LTD,GCRSF,OTCBB,$10,"8,000,000","$80,000,000",4/18/2011,http://www.nasdaq.com/markets/ipos/company/global-cornerstone-holdings-ltd-847435-66323
1248,ELLIE MAE INC,ELLI,American Stock Exchange,$6,"7,500,000","$45,000,000",4/15/2011,http://www.nasdaq.com/markets/ipos/company/ellie-mae-inc-134697-64028
1249,SEQUANS COMMUNICATIONS,SQNS,New York Stock Exchange,$10,"7,700,000","$77,000,000",4/15/2011,http://www.nasdaq.com/markets/ipos/company/sequans-communications-850840-66638
1250,"STAG INDUSTRIAL, INC.",STIR,New York Stock Exchange,$13,"13,750,000","$178,750,000",4/15/2011,http://www.nasdaq.com/markets/ipos/company/stag-industrial-inc-833834-64803
1251,BOX SHIPS INC.,TEU,New York Stock Exchange,$12,"11,000,000","$132,000,000",4/14/2011,http://www.nasdaq.com/markets/ipos/company/box-ships-inc-851969-66752
1252,ARCOS DORADOS HOLDINGS INC.,ARCO,New York Stock Exchange,$17,"73,484,164","$1,249,230,788",4/14/2011,http://www.nasdaq.com/markets/ipos/company/arcos-dorados-holdings-inc-851067-66667
1253,TMS INTERNATIONAL CORP.,TMS,New York Stock Exchange,$13,"11,200,000","$145,600,000",4/14/2011,http://www.nasdaq.com/markets/ipos/company/tms-international-corp-828536-64166
1254,ZIPCAR INC,ZIP,NASDAQ,$18,"9,684,109","$174,313,962",4/14/2011,http://www.nasdaq.com/markets/ipos/company/zipcar-inc-156100-64337
1255,RMG NETWORKS HOLDING CORP,SCGQU,OTCBB,$10,"8,000,000","$80,000,000",4/13/2011,http://www.nasdaq.com/markets/ipos/company/rmg-networks-holding-corp-847167-66309
1256,GOLAR LNG PARTNERS LP,GMLP,NASDAQ,$22.50,"12,000,000","$270,000,000",4/8/2011,http://www.nasdaq.com/markets/ipos/company/golar-lng-partners-lp-851588-66701
1257,"MEDGENICS, INC.",MDGN,American Stock Exchange,$4.54,"2,460,000","$11,168,400",4/8/2011,http://www.nasdaq.com/markets/ipos/company/medgenics-inc-167844-65590
1258,"CVR PARTNERS, LP",UAN,New York Stock Exchange,$16,"19,200,000","$307,200,000",4/8/2011,http://www.nasdaq.com/markets/ipos/company/cvr-partners-lp-771917-65972
1259,SANDRIDGE ENERGY INC,SDT,New York Stock Exchange,$21,"15,000,000","$315,000,000",4/7/2011,http://www.nasdaq.com/markets/ipos/company/sandridge-energy-inc-696018-66111
1260,"OCERA THERAPEUTICS, INC.",TZYM,NASDAQ,$4,"13,500,000","$54,000,000",4/4/2011,http://www.nasdaq.com/markets/ipos/company/ocera-therapeutics-inc-612511-65728
1261,"GNC HOLDINGS, INC.",GNC,New York Stock Exchange,$16,"22,500,000","$360,000,000",4/1/2011,http://www.nasdaq.com/markets/ipos/company/gnc-holdings-inc-837923-65282
1262,PREFERRED APARTMENT COMMUNITIES INC,APTS,American Stock Exchange,$10,"4,500,000","$45,000,000",4/1/2011,http://www.nasdaq.com/markets/ipos/company/preferred-apartment-communities-inc-833934-64819
1263,PINGTAN MARINE ENTERPRISE LTD.,CGEIU,NASDAQ,$10,"5,000,000","$50,000,000",5/27/2011,http://www.nasdaq.com/markets/ipos/company/pingtan-marine-enterprise-ltd-852157-66787
1264,SOLAZYME INC,SZYM,NASDAQ,$18,"10,975,000","$197,550,000",5/27/2011,http://www.nasdaq.com/markets/ipos/company/solazyme-inc-657474-66563
1265,"FREESCALE SEMICONDUCTOR, LTD.",FSL,New York Stock Exchange,$18,"43,500,000","$783,000,000",5/26/2011,http://www.nasdaq.com/markets/ipos/company/freescale-semiconductor-ltd-748380-66346
1266,LONE PINE RESOURCES INC.,LPR,New York Stock Exchange,$13,"15,000,000","$195,000,000",5/26/2011,http://www.nasdaq.com/markets/ipos/company/lone-pine-resources-inc-843092-65902
1267,"SPIRIT AIRLINES, INC.",SAVE,NASDAQ,$12,"15,600,000","$187,200,000",5/26/2011,http://www.nasdaq.com/markets/ipos/company/spirit-airlines-inc-837419-65205
1268,ACTIVE NETWORK INC,ACTV,New York Stock Exchange,$15,"11,000,000","$165,000,000",5/25/2011,http://www.nasdaq.com/markets/ipos/company/active-network-inc-127643-66386
1269,YANDEX N.V.,YNDX,NASDAQ,$25,"52,174,088","$1,304,352,200",5/24/2011,http://www.nasdaq.com/markets/ipos/company/yandex-nv-853774-66964
1270,LINKEDIN CORP,LNKD,New York Stock Exchange,$45,"7,840,000","$352,800,000",5/19/2011,http://www.nasdaq.com/markets/ipos/company/linkedin-corp-606852-66240
1271,GLOBAL EAGLE ENTERTAINMENT INC.,EAGLU,Nasdaq Smallcap Market,$10,"17,500,000","$175,000,000",5/13/2011,http://www.nasdaq.com/markets/ipos/company/global-eagle-entertainment-inc-847896-66395
1272,PHOENIX NEW MEDIA LTD,FENG,New York Stock Exchange,$11,"12,767,500","$140,442,500",5/12/2011,http://www.nasdaq.com/markets/ipos/company/phoenix-new-media-ltd-853434-66917
1273,NGL ENERGY PARTNERS LP,NGL,New York Stock Exchange,$21,"3,500,000","$73,500,000",5/12/2011,http://www.nasdaq.com/markets/ipos/company/ngl-energy-partners-lp-840240-66345
1274,CHINA ZENIX AUTO INTERNATIONAL LTD,ZX,New York Stock Exchange,$6,"12,900,000","$77,400,000",5/12/2011,http://www.nasdaq.com/markets/ipos/company/china-zenix-auto-international-ltd-853202-66898
1275,RLJ LODGING TRUST,RLJ,New York Stock Exchange,$18,"27,500,000","$495,000,000",5/11/2011,http://www.nasdaq.com/markets/ipos/company/rlj-lodging-trust-846901-66283
1276,FRIENDFINDER NETWORKS INC.,FFN,NASDAQ,$10,"5,000,000","$50,000,000",5/11/2011,http://www.nasdaq.com/markets/ipos/company/friendfinder-networks-inc-794555-59995
1277,JIAYUAN.COM INTERNATIONAL LTD,DATE,NASDAQ,$11,"7,100,000","$78,100,000",5/11/2011,http://www.nasdaq.com/markets/ipos/company/jiayuancom-international-ltd-853330-66907
1278,KOSMOS ENERGY LTD.,KOS,New York Stock Exchange,$18,"33,000,000","$594,000,000",5/11/2011,http://www.nasdaq.com/markets/ipos/company/kosmos-energy-ltd-845631-66168
1279,JETPAY CORP,UBPSU,NASDAQ,$6,"12,000,000","$72,000,000",5/10/2011,http://www.nasdaq.com/markets/ipos/company/jetpay-corp-843966-66008
1280,VOC ENERGY TRUST,VOC,New York Stock Exchange,$21,"11,085,000","$232,785,000",5/5/2011,http://www.nasdaq.com/markets/ipos/company/voc-energy-trust-844377-66063
1281,"THERMON GROUP HOLDINGS, INC.",THR,New York Stock Exchange,$12,"10,000,000","$120,000,000",5/5/2011,http://www.nasdaq.com/markets/ipos/company/thermon-group-holdings-inc-825741-66278
1282,SMG INDIUM RESOURCES LTD.,SGMEU,OTCBB,$5,"4,800,000","$24,000,000",5/5/2011,http://www.nasdaq.com/markets/ipos/company/smg-indium-resources-ltd-771889-63814
1283,NQ MOBILE INC.,NQ,New York Stock Exchange,$11.50,"7,750,000","$89,125,000",5/5/2011,http://www.nasdaq.com/markets/ipos/company/nq-mobile-inc-850274-66578
1284,RENREN INC.,RENN,New York Stock Exchange,$14,"53,100,000","$743,400,000",5/4/2011,http://www.nasdaq.com/markets/ipos/company/renren-inc-853001-66877
1285,RPX CORP,RPXC,NASDAQ,$19,"8,430,435","$160,178,265",5/4/2011,http://www.nasdaq.com/markets/ipos/company/rpx-corp-846151-66211
1286,BOINGO WIRELESS INC,WIFI,NASDAQ,$13.50,"5,770,000","$77,895,000",5/4/2011,http://www.nasdaq.com/markets/ipos/company/boingo-wireless-inc-104853-66176
1287,"FIRST CONNECTICUT BANCORP, INC.",FBNK,NASDAQ,$10,"17,192,500","$171,925,000",6/30/2011,http://www.nasdaq.com/markets/ipos/company/first-connecticut-bancorp-inc-846582-66243
1288,"AG MORTGAGE INVESTMENT TRUST, INC.",MITT,New York Stock Exchange,$20,"5,500,000","$110,000,000",6/30/2011,http://www.nasdaq.com/markets/ipos/company/ag-mortgage-investment-trust-inc-849551-66523
1289,HOMEAWAY INC,AWAY,NASDAQ,$27,"8,000,000","$216,000,000",6/29/2011,http://www.nasdaq.com/markets/ipos/company/homeaway-inc-712814-66558
1290,KIOR INC,KIOR,NASDAQ,$15,"10,000,000","$150,000,000",6/24/2011,http://www.nasdaq.com/markets/ipos/company/kior-inc-762815-66831
1291,"SAEXPLORATION HOLDINGS, INC.",TMRGU,OTCBB,$10,"6,000,000","$60,000,000",6/22/2011,http://www.nasdaq.com/markets/ipos/company/saexploration-holdings-inc-850267-66577
1292,VANGUARD HEALTH SYSTEMS INC,VHS,New York Stock Exchange,$18,"25,000,000","$450,000,000",6/22/2011,http://www.nasdaq.com/markets/ipos/company/vanguard-health-systems-inc-91842-66876
1293,"BANKRATE, INC.",RATE,New York Stock Exchange,$15,"20,000,000","$300,000,000",6/17/2011,http://www.nasdaq.com/markets/ipos/company/bankrate-inc-853102-66878
1294,INTEGRATED DRILLING EQUIPMENT HOLDINGS CORP,EPAQU,OTCBB,$10,"6,000,000","$60,000,000",6/16/2011,http://www.nasdaq.com/markets/ipos/company/integrated-drilling-equipment-holdings-corp-849473-66514
1295,CSI COMPRESSCO LP,GSJK,NASDAQ,$20,"2,670,000","$53,400,000",6/15/2011,http://www.nasdaq.com/markets/ipos/company/csi-compressco-lp-791919-59657
1296,"PANDORA MEDIA, INC.",P,New York Stock Exchange,$16,"14,684,000","$234,944,000",6/15/2011,http://www.nasdaq.com/markets/ipos/company/pandora-media-inc-405127-66361
1297,"FUSION-IO, INC.",FIO,New York Stock Exchange,$19,"12,300,000","$233,700,000",6/9/2011,http://www.nasdaq.com/markets/ipos/company/fusionio-inc-728969-66532
1298,TAOMEE HOLDINGS LTD,TAOM,New York Stock Exchange,$9,"7,187,500","$64,687,500",6/9/2011,http://www.nasdaq.com/markets/ipos/company/taomee-holdings-ltd-855731-67176
1299,"BIG THREE RESTAURANTS, INC.",BTHR,OTCBB,$2.49,"1,868,400","$4,652,316",6/6/2011,http://www.nasdaq.com/markets/ipos/company/big-three-restaurants-inc-836350-65072
1300,"C&J ENERGY SERVICES, INC.",CJES,New York Stock Exchange,$29,"11,500,000","$333,500,000",7/29/2011,http://www.nasdaq.com/markets/ipos/company/cj-energy-services-inc-844689-66709
1301,"CHEFS' WAREHOUSE, INC.",CHEF,NASDAQ,$15,"9,000,000","$135,000,000",7/28/2011,http://www.nasdaq.com/markets/ipos/company/chefs-warehouse-inc-852643-66833
1302,TEAVANA HOLDINGS INC,TEA,New York Stock Exchange,$17,"7,142,858","$121,428,586",7/28/2011,http://www.nasdaq.com/markets/ipos/company/teavana-holdings-inc-661253-66965
1303,"WESCO AIRCRAFT HOLDINGS, INC",WAIR,New York Stock Exchange,$15,"21,000,000","$315,000,000",7/28/2011,http://www.nasdaq.com/markets/ipos/company/wesco-aircraft-holdings-inc-724080-66809
1304,HORIZON PHARMA PLC,HZNP,NASDAQ,$9,"5,500,000","$49,500,000",7/28/2011,http://www.nasdaq.com/markets/ipos/company/horizon-pharma-plc-829161-64849
1305,"AMERICAN MIDSTREAM PARTNERS, LP",AMID,New York Stock Exchange,$21,"3,750,000","$78,750,000",7/27/2011,http://www.nasdaq.com/markets/ipos/company/american-midstream-partners-lp-851666-66714
1306,"DUNKIN' BRANDS GROUP, INC.",DNKN,NASDAQ,$19,"22,250,000","$422,750,000",7/27/2011,http://www.nasdaq.com/markets/ipos/company/dunkin-brands-group-inc-703168-67014
1307,FRANCESCA'S HOLDINGS CORP,FRAN,NASDAQ,$17,"10,000,000","$170,000,000",7/22/2011,http://www.nasdaq.com/markets/ipos/company/francescas-holdings-corp-744462-66897
1308,"APOLLO RESIDENTIAL MORTGAGE, INC.",AMTG,New York Stock Exchange,$20,"10,000,000","$200,000,000",7/22/2011,http://www.nasdaq.com/markets/ipos/company/apollo-residential-mortgage-inc-850738-66627
1309,"SUNCOKE ENERGY, INC.",SXC,New York Stock Exchange,$16,"11,600,000","$185,600,000",7/21/2011,http://www.nasdaq.com/markets/ipos/company/suncoke-energy-inc-850896-66649
1310,"SKULLCANDY, INC.",SKUL,NASDAQ,$20,"9,441,693","$188,833,860",7/20/2011,http://www.nasdaq.com/markets/ipos/company/skullcandy-inc-767326-66247
1311,ZILLOW INC,Z,NASDAQ,$20,"3,462,000","$69,240,000",7/20/2011,http://www.nasdaq.com/markets/ipos/company/zillow-inc-681439-66891
1312,TANGOE INC,TNGO,NASDAQ,$10,"8,770,000","$87,700,000",7/17/2011,http://www.nasdaq.com/markets/ipos/company/tangoe-inc-378896-63905
1313,BLUE WOLF MONGOLIA HOLDINGS CORP.,MNGLU,NASDAQ,$10,"7,000,000","$70,000,000",7/15/2011,http://www.nasdaq.com/markets/ipos/company/blue-wolf-mongolia-holdings-corp-852498-66821
1314,NAUTILUS MARINE ACQUISITION CORP,NMARU,NASDAQ,$10,"4,800,000","$48,000,000",7/15/2011,http://www.nasdaq.com/markets/ipos/company/nautilus-marine-acquisition-corp-856631-67303
1315,"OILTANKING PARTNERS, L.P.",OILT,New York Stock Exchange,$21.50,"10,000,000","$215,000,000",7/14/2011,http://www.nasdaq.com/markets/ipos/company/oiltanking-partners-lp-851684-66720
1316,VAPIR ENTERPRISES INC.,APGS,OTCBB,$0.53,"8,936,400","$4,736,292",7/1/2011,http://www.nasdaq.com/markets/ipos/company/vapir-enterprises-inc-826459-65720
1317,AZTECA ACQUISITION CORP,AZTAU,OTCBB,$10,"10,000,000","$100,000,000",7/1/2011,http://www.nasdaq.com/markets/ipos/company/azteca-acquisition-corp-853497-66933
1318,TUDOU HOLDINGS LTD,TUDO,NASDAQ,$29,"6,000,000","$174,000,000",8/17/2011,http://www.nasdaq.com/markets/ipos/company/tudou-holdings-ltd-840944-65618
1319,CARBONITE INC,CARB,NASDAQ,$10,"6,250,000","$62,500,000",8/11/2011,http://www.nasdaq.com/markets/ipos/company/carbonite-inc-686680-67102
1320,SANDRIDGE ENERGY INC,PER,New York Stock Exchange,$18,"30,000,000","$540,000,000",8/11/2011,http://www.nasdaq.com/markets/ipos/company/sandridge-energy-inc-696018-67249
1321,BRENHAM OIL & GAS CORP.,BRHM,OTCBB,$1,"10,297,019","$10,297,019",8/4/2011,http://www.nasdaq.com/markets/ipos/company/brenham-oil-gas-corp-837582-65227
1322,AMERICAN CAPITAL MORTGAGE INVESTMENT CORP.,MTGE,NASDAQ,$20,"8,000,000","$160,000,000",8/4/2011,http://www.nasdaq.com/markets/ipos/company/american-capital-mortgage-investment-corp-851755-66736
1323,TEUCRIUM COMMODITY TRUST,CANE,New York Stock Exchange,$25,"10,000,000","$250,000,000",9/19/2011,http://www.nasdaq.com/markets/ipos/company/teucrium-commodity-trust-812164-64489
1324,TEUCRIUM COMMODITY TRUST,SOYB,New York Stock Exchange,$25,"10,000,000","$250,000,000",9/19/2011,http://www.nasdaq.com/markets/ipos/company/teucrium-commodity-trust-812164-64492
1325,TEUCRIUM COMMODITY TRUST,WEAT,New York Stock Exchange,$25,"10,000,000","$250,000,000",9/19/2011,http://www.nasdaq.com/markets/ipos/company/teucrium-commodity-trust-812164-64493
1326,"POAGE BANKSHARES, INC.",PBSK,NASDAQ,$10,"2,932,500","$29,325,000",9/13/2011,http://www.nasdaq.com/markets/ipos/company/poage-bankshares-inc-847820-66348
1327,"VEREIT, INC.",ARCP,NASDAQ,$12.50,"8,800,000","$110,000,000",9/7/2011,http://www.nasdaq.com/markets/ipos/company/vereit-inc-847880-66357
1328,ZELTIQ AESTHETICS INC,ZLTQ,NASDAQ,$13,"7,000,000","$91,000,000",10/19/2011,http://www.nasdaq.com/markets/ipos/company/zeltiq-aesthetics-inc-759517-67654
1329,"BSB BANCORP, INC.",BLMT,NASDAQ,$10,"7,820,000","$78,200,000",10/14/2011,http://www.nasdaq.com/markets/ipos/company/bsb-bancorp-inc-857266-67372
1330,CURRENCYSHARES CHINESE RENMINBI TRUST,FXCH,New York Stock Exchange,$78.21,"7,000,000","$547,470,000",10/14/2011,http://www.nasdaq.com/markets/ipos/company/currencyshares-chinese-renminbi-trust-856644-67305
1331,"HINTO ENERGY, INC",GVTS,OTCBB,$0.25,"1,030,000","$257,500",10/14/2011,http://www.nasdaq.com/markets/ipos/company/hinto-energy-inc-64293-56771
1332,"UBIQUITI NETWORKS, INC.",UBNT,NASDAQ,$15,"7,038,230","$105,573,450",10/14/2011,http://www.nasdaq.com/markets/ipos/company/ubiquiti-networks-inc-857833-67441
1333,"DIGITAL DOMAIN MEDIA GROUP, INC.",DDMG,New York Stock Exchange,$8.50,"4,920,000","$41,820,000",11/18/2011,http://www.nasdaq.com/markets/ipos/company/digital-domain-media-group-inc-828382-67152
1334,INTERMOLECULAR INC,IMI,NASDAQ,$10,"9,650,000","$96,500,000",11/18/2011,http://www.nasdaq.com/markets/ipos/company/intermolecular-inc-657705-67788
1335,MATTRESS FIRM HOLDING CORP.,MFRM,NASDAQ,$19,"5,555,555","$105,555,545",11/18/2011,http://www.nasdaq.com/markets/ipos/company/mattress-firm-holding-corp-763720-67382
1336,"MANNING & NAPIER, INC.",MN,New York Stock Exchange,$12,"12,500,000","$150,000,000",11/18/2011,http://www.nasdaq.com/markets/ipos/company/manning-napier-inc-859058-67574
1337,DELPHI AUTOMOTIVE PLC,DLPH,New York Stock Exchange,$22,"24,078,827","$529,734,194",11/17/2011,http://www.nasdaq.com/markets/ipos/company/delphi-automotive-plc-856325-67250
1338,"ANGIE'S LIST, INC.",ANGI,NASDAQ,$13,"8,793,408","$114,314,304",11/17/2011,http://www.nasdaq.com/markets/ipos/company/angies-list-inc-828500-68016
1339,"CLOVIS ONCOLOGY, INC.",CLVS,NASDAQ,$13,"10,000,000","$130,000,000",11/16/2011,http://www.nasdaq.com/markets/ipos/company/clovis-oncology-inc-807381-67478
1340,INVENSENSE INC,INVN,New York Stock Exchange,$7.50,"10,000,000","$75,000,000",11/16/2011,http://www.nasdaq.com/markets/ipos/company/invensense-inc-642614-64579
1341,UNITED STATES COMMODITY INDEX FUNDS TRUST,CPER,New York Stock Exchange,$25,"30,000,000","$750,000,000",11/15/2011,http://www.nasdaq.com/markets/ipos/company/united-states-commodity-index-funds-trust-818184-65771
1342,CHESAPEAKE ENERGY CORP,CHKR,New York Stock Exchange,$19,"20,000,000","$380,000,000",11/14/2011,http://www.nasdaq.com/markets/ipos/company/chesapeake-energy-corp-1021-67606
1343,NEWLINK GENETICS CORP,NLNK,NASDAQ,$7,"6,200,000","$43,400,000",11/14/2011,http://www.nasdaq.com/markets/ipos/company/newlink-genetics-corp-97316-65981
1344,PACIFIC DRILLING S.A.,PACD,New York Stock Exchange,$8.25,"6,000,000","$49,500,000",11/11/2011,http://www.nasdaq.com/markets/ipos/company/pacific-drilling-sa-853161-68548
1345,"LRR ENERGY, L.P.",LRE,New York Stock Exchange,$19,"9,408,000","$178,752,000",11/11/2011,http://www.nasdaq.com/markets/ipos/company/lrr-energy-lp-854782-67048
1346,IMPERVA INC,IMPV,New York Stock Exchange,$18,"5,000,000","$90,000,000",11/9/2011,http://www.nasdaq.com/markets/ipos/company/imperva-inc-711138-67452
1347,HEALTHCARE CORP OF AMERICA,SWCAU,OTCBB,$10,"2,000,000","$20,000,000",11/8/2011,http://www.nasdaq.com/markets/ipos/company/healthcare-corp-of-america-849798-66543
1348,"RENTECH NITROGEN PARTNERS, L.P.",RNF,New York Stock Exchange,$20,"15,000,000","$300,000,000",11/4/2011,http://www.nasdaq.com/markets/ipos/company/rentech-nitrogen-partners-lp-861474-67861
1349,"GROUPON, INC.",GRPN,NASDAQ,$20,"35,000,000","$700,000,000",11/4/2011,http://www.nasdaq.com/markets/ipos/company/groupon-inc-826818-67316
1350,ENDURO RESOURCE PARTNERS LLC,NDRO,New York Stock Exchange,$22,"13,200,000","$290,400,000",11/3/2011,http://www.nasdaq.com/markets/ipos/company/enduro-resource-partners-llc-855486-67135
1351,CRESTWOOD MIDSTREAM PARTNERS LP,NRGM,New York Stock Exchange,$17,"16,000,000","$272,000,000",12/16/2011,http://www.nasdaq.com/markets/ipos/company/crestwood-midstream-partners-lp-650673-67997
1352,ZYNGA INC,ZNGA,NASDAQ,$10,"100,000,000","$1,000,000,000",12/16/2011,http://www.nasdaq.com/markets/ipos/company/zynga-inc-782377-67565
1353,"BONANZA CREEK ENERGY, INC.",BCEI,New York Stock Exchange,$17,"10,000,000","$170,000,000",12/15/2011,http://www.nasdaq.com/markets/ipos/company/bonanza-creek-energy-inc-844878-67357
1354,MICHAEL KORS HOLDINGS LTD,KORS,New York Stock Exchange,$20,"47,200,000","$944,000,000",12/15/2011,http://www.nasdaq.com/markets/ipos/company/michael-kors-holdings-ltd-869036-68739
1355,"LAREDO PETROLEUM, INC.",LPI,New York Stock Exchange,$17,"17,500,000","$297,500,000",12/15/2011,http://www.nasdaq.com/markets/ipos/company/laredo-petroleum-inc-862471-67993
1356,"MID-CON ENERGY PARTNERS, LP",MCEP,NASDAQ,$18,"5,400,000","$97,200,000",12/15/2011,http://www.nasdaq.com/markets/ipos/company/midcon-energy-partners-lp-861967-67915
1357,GAZIT-GLOBE LTD,GZT,New York Stock Exchange,$9,"9,000,000","$81,000,000",12/14/2011,http://www.nasdaq.com/markets/ipos/company/gazitglobe-ltd-724351-68754
1358,SANCHEZ ENERGY CORP,SN,New York Stock Exchange,$22,"10,000,000","$220,000,000",12/14/2011,http://www.nasdaq.com/markets/ipos/company/sanchez-energy-corp-862977-68061
1359,"JIVE SOFTWARE, INC.",JIVE,NASDAQ,$12,"13,439,600","$161,275,200",12/13/2011,http://www.nasdaq.com/markets/ipos/company/jive-software-inc-806055-68009
1360,"ROSE ROCK MIDSTREAM, L.P.",RRMS,New York Stock Exchange,$20,"7,000,000","$140,000,000",12/9/2011,http://www.nasdaq.com/markets/ipos/company/rose-rock-midstream-lp-861945-67910
1361,MEMORIAL PRODUCTION PARTNERS LP,MEMP,NASDAQ,$19,"9,000,000","$171,000,000",12/9/2011,http://www.nasdaq.com/markets/ipos/company/memorial-production-partners-lp-858218-67483
1362,"VERASTEM, INC.",VSTM,NASDAQ,$10,"5,500,000","$55,000,000",1/27/2012,http://www.nasdaq.com/markets/ipos/company/verastem-inc-860700-68518
1363,"GUIDEWIRE SOFTWARE, INC.",GWRE,New York Stock Exchange,$13,"8,850,000","$115,050,000",1/25/2012,http://www.nasdaq.com/markets/ipos/company/guidewire-software-inc-863116-68084
1364,"RENEWABLE ENERGY GROUP, INC.",REGI,NASDAQ,$10,"7,200,000","$72,000,000",1/19/2012,http://www.nasdaq.com/markets/ipos/company/renewable-energy-group-inc-804642-67691
1365,"HOME LOAN SERVICING SOLUTIONS, LTD.",HLSS,NASDAQ,$14,"13,333,333","$186,666,662",2/29/2012,http://www.nasdaq.com/markets/ipos/company/home-loan-servicing-solutions-ltd-848844-66445
1366,PROTO LABS INC,PRLB,New York Stock Exchange,$16,"4,300,000","$68,800,000",2/24/2012,http://www.nasdaq.com/markets/ipos/company/proto-labs-inc-786297-67741
1367,"EVERYWARE GLOBAL, INC.",ROIQU,NASDAQ,$10,"7,500,000","$75,000,000",2/24/2012,http://www.nasdaq.com/markets/ipos/company/everyware-global-inc-866005-68377
1368,BAZAARVOICE INC,BV,NASDAQ,$12,"9,484,296","$113,811,552",2/24/2012,http://www.nasdaq.com/markets/ipos/company/bazaarvoice-inc-677256-68019
1369,"CERES, INC.",CERE,NASDAQ,$13,"5,000,000","$65,000,000",2/22/2012,http://www.nasdaq.com/markets/ipos/company/ceres-inc-492634-67202
1370,BRIGHTCOVE INC,BCOV,NASDAQ,$11,"5,000,000","$55,000,000",2/17/2012,http://www.nasdaq.com/markets/ipos/company/brightcove-inc-660008-67996
1371,"HOMESTREET, INC.",HMST,NASDAQ,$44,"1,896,442","$83,443,448",2/10/2012,http://www.nasdaq.com/markets/ipos/company/homestreet-inc-854572-67044
1372,"GSE HOLDING, INC.",GSE,New York Stock Exchange,$9,"7,000,000","$63,000,000",2/10/2012,http://www.nasdaq.com/markets/ipos/company/gse-holding-inc-614670-67640
1373,"SYNACOR, INC.",SYNC,NASDAQ,$5,"6,818,170","$34,090,850",2/10/2012,http://www.nasdaq.com/markets/ipos/company/synacor-inc-753286-68658
1374,FX ALLIANCE INC.,FX,New York Stock Exchange,$12,"5,200,000","$62,400,000",2/9/2012,http://www.nasdaq.com/markets/ipos/company/fx-alliance-inc-863927-68195
1375,"ROUNDY'S, INC.",RNDY,New York Stock Exchange,$8.50,"19,181,818","$163,045,453",2/8/2012,http://www.nasdaq.com/markets/ipos/company/roundys-inc-869101-68748
1376,"CHEMOCENTRYX, INC.",CCXI,NASDAQ,$10,"4,500,000","$45,000,000",2/8/2012,http://www.nasdaq.com/markets/ipos/company/chemocentryx-inc-762061-68375
1377,CEMENTOS PACASMAYO SAA,CPAC,New York Stock Exchange,$11.50,"20,000,000","$230,000,000",2/8/2012,http://www.nasdaq.com/markets/ipos/company/cementos-pacasmayo-saa-400347-68987
