cik,days_to_first_price_update,days_to_final_price_revision,days_from_priced_to_listing,days_from_s1_to_listing,size_of_first_price_update,size_of_final_price_revision,percent_first_price_update,percent_final_price_revision,pct_first_price_change,days_to_first_price_change,prange_change_first_price_update,prange_change_plus,delay_in_price_update,number_of_price_updates,number_of_price_updates_up,number_of_price_updates_down,offer_in_filing_price_range,Coname,Year,date_1st_pricing,date_last_pricing,date_s1_filing,date_424b,date_trading,Date,Offer Price,Open,Close,High,Low,Volume,open_return,close_return,SIC,FF49_industry,BAA_yield_changes,confidential_IPO,foreign,exchange,amends,VC,underwriter_rank_single,underwriter_rank_avg,underwriter_rank_med,underwriter_num_leads,underwriter_collective_rank,underwriter_tier,share_overhang,shares_offered,total_dual_class_shares,proceeds,market_cap,liab_over_assets,price_to_earnings,price_to_sales,EPS,sales,priceupdate_down,priceupdate_up,M3_IPO_volume,M3_indust_rets,M3_initial_returns,M3_pct_above_midpoint,IoT_15day_CASI_all,IoT_15day_CASI_business_industrial,IoT_15day_CASI_finance,IoT_15day_CASI_weighted_finance,IoT_30day_CASI_all,IoT_30day_CASI_business_industrial,IoT_30day_CASI_finance,IoT_30day_CASI_weighted_finance,IoT_60day_CASI_all,IoT_60day_CASI_business_industrial,IoT_60day_CASI_finance,IoT_60day_CASI_weighted_finance,IoT_15day_CASI_news,IoT_30day_CASI_news,IoT_entity_type,amendment,gtrends_name,pct_final_revision_down,pct_final_revision_up,pct_first_price_change_up,pct_first_price_change_down,media_1st_pricing,media_listing,lockup_expiration,lockup_period,underwriter_syndicate_size,num_S1A,original_prange,prange_change_pct,original_price_is_range,original_prange_size,num_priced_S1A,num_SEC_amendments,num_roadshow_S1A,underwriter_first_lead,underwriter_groups,stddev_prices_10day,stddev_prices_5day
1288469,18.0,19.0,19.0,138.0,2.0,2.0,16.666666666666664,16.666666666666664,16.666666666666664,18.0,-2.0,2.0,94.73684210526315,1,1,0,above,MAXLINEAR INC,2010,2010-03-05,2010-03-24,2009-11-06,2010-03-24,2010-03-24,2010/03/24,14.0,17.950000762939453,18.700000762939453,19.38999938964844,17.559999465942386,6890104.0,28.214284896850586,33.57143020629883,3674,Chips,0.019999999552965164,0,0,New York Stock Exchange,Up,1,9.00100040435791,8.800000190734863,8.800000190734863,2,17.5,8.5+,1.0,6444100.0,6444100.0,77329200.0,77329200.0,0.5562016045620999,17.863063063063066,1.5059240506329117,0.6717772846479726,51350000.0,0.0,16.666666666666664,6.666666507720947,1.2333333492279053,3.2999999523162837,16.66666603088379,2.4328407176484235,5.9808286468497736,0.0,2.804556454832732,5.6649796304881015,5.9808286468497736,0.0,3.881936092445958,4.469474179888662,5.9808286468497736,0.0,3.4834342755794783,5.9808286468497736,5.9808286468497736,Modem company,1.0,MaxLinear,0.0,16.666666666666664,16.666666666666664,0.0,0,32,2010-09-20,180,5,8,"[11.0, 13.0]",-100.0,True,2.0,4,4,2,Deutsche Bank Securities Inc,Multiple Lead Underwriters,0.6068312450755975,0.26880476186258323
1288847,,11.0,11.0,32.0,,-3.0,,-30.0,-30.0,11.0,,0.0,100.0,1,0,1,under,"FIVE9, INC.",2014,2014-03-24,2014-04-04,2014-03-03,2014-04-04,2014-04-04,2014/04/04,7.0,7.949999809265138,7.639999866485598,9.350000381469727,7.179999828338622,5520211.0,13.571428298950195,9.142857551574707,7370,Softw,-0.12999999523162842,0,0,NASDAQ,None,1,9.00100040435791,8.5,8.5,3,25.5,7+,4.604751110076903,10000000.0,46047512.0,100000000.0,460475120.0,1.052738192544156,-14.705087820144346,5.473245851756762,-0.6800367411815865,84132000.0,0.0,0.0,19.33333396911621,1.0666667222976685,21.933332443237305,36.66666793823242,1.7997488103347885,0.10214739595980928,0.0,0.6339654020981992,6.088504270141412,0.5781478202889168,0.0,2.2222173634767763,6.017599642456036,1.9300248416151664,0.0,2.6492081613570666,0.10214739595980928,0.5781478202889168,Search term,0.0,Five9,30.0,0.0,0.0,-30.0,0,12,2014-10-01,180,6,4,"[9.0, 11.0]",-100.0,True,2.0,3,1,2,Barclays Capital Inc,Multiple Lead Underwriters,0.24912848090894787,0.20565991344936416
1289419,,25.0,25.0,363.0,,1.0,,5.7142857142857135,5.7142857142857135,25.0,,0.0,100.0,1,1,0,within,"MORNINGSTAR, INC.",2005,2005-04-08,2005-05-03,2004-05-06,2005-05-04,2005-05-03,2005/05/03,18.5,18.65999984741211,20.049999237060547,20.649999618530273,18.51000022888184,3271541.0,0.8648648858070374,8.378377914428711,7370,Softw,0.2300000041723252,0,0,NASDAQ,None,1,7.000999927520753,7.0,7.0,1,7.0,0+,5.0504584312438965,7612500.0,38446616.0,133218750.0,672815780.0,0.698253195288736,76.37822454308095,3.744980908169967,0.2291228960176885,179658000.0,0.0,0.0,11.333333015441895,-3.2633333206176762,9.43333339691162,31.66666603088379,0.16751491627056744,1.4599721602629632,-0.6111612815847164,0.33877526498293803,-0.30002615611718103,-2.490392997779894,0.17236765562492942,-0.8726838327573821,-4.795024142535381,-2.3262230676193365,-7.491367423826692,-4.87087154466047,0.4244054393391234,-1.1590126710774826,Investment Advice Business,0.0,Morningstar Inc,0.0,5.7142857142857135,5.7142857142857135,0.0,0,0,2005-10-31,180,2,6,[],,False,0.0,3,3,2,"W.R. Hambrecht and Co., LLC","W.R. Hambrecht and Co., LLC",0.6884221088837865,0.8733704826704417
1290096,10.0,16.0,16.0,79.0,1.0,0.5,6.666666666666668,3.333333333333333,6.666666666666668,10.0,-2.0,2.0,62.5,2,1,1,within,"EAGLE TEST SYSTEMS, INC.",2006,2006-02-21,2006-03-09,2005-12-20,2006-03-09,2006-03-09,2006/03/09,15.5,16.649999618530273,15.5,16.950000762939453,15.289999961853027,6821345.0,7.419354915618896,0.0,3825,LabEq,-0.05000000074505806,0,0,NASDAQ Global Market,Up,1,8.00100040435791,8.0,8.0,2,16.0,7+,3.1756207942962646,6500000.0,20641536.0,97500000.0,309623040.0,0.7103750697336499,165.132288,13.793515391811823,0.09083626334784388,22447000.0,0.0,6.666666666666668,12.666666984558105,2.0299999713897705,11.466666221618652,40.33333206176758,0.05752285029373014,0.0,0.0,0.019174283431243368,0.6069652216293839,0.0,0.0,0.202321740543128,2.8201459764294947,0.0,0.0,0.9400486588098316,0.05752285029373014,0.6069652216293839,Business Operation,1.0,Eagle Test Systems,0.0,3.333333333333333,6.666666666666668,0.0,0,14,2006-09-05,180,5,8,"[14.0, 16.0]",-100.0,True,2.0,3,5,1,Banc of America Securities LLC,Multiple Lead Underwriters,0.6005031223898839,0.13505554412907322
1292426,56.0,57.0,57.0,224.0,2.0,2.0,10.526315789473683,10.526315789473683,10.526315789473683,56.0,-2.0,2.0,98.24561403508771,1,1,0,above,GFI GROUP INC.,2005,2004-11-30,2005-01-26,2004-06-16,2005-01-26,2005-01-26,2005/01/26,21.0,24.989999771118164,26.440000534057607,26.520000457763672,24.25,6525994.0,19.0,25.90476226806641,6211,Fin,-0.07000000029802322,0,0,NASDAQ,Up,1,0.0,0.0,0.0,2,0.0,0+,5.036350727081299,5857224.0,29499036.0,111287256.0,560481684.0,0.8768970377624437,28.355847617120308,2.0022780774644366,0.6700557943656192,279922000.0,0.0,10.526315789473683,14.333333015441895,4.070000171661377,15.43333339691162,46.66666793823242,-0.18228874899345696,0.0,0.0,-0.060762916331152335,-0.3994679341232917,0.0,0.0,-0.13315597804109724,-0.2888672910438489,0.0,0.0,-0.09628909701461633,-0.18228874899345696,-0.3994679341232917,Company,1.0,GFI Group,0.0,10.526315789473683,10.526315789473683,0.0,0,10,2005-07-25,180,5,9,"[18.0, 20.0]",-100.0,True,2.0,5,4,3,Citigroup Global Markets Inc,Multiple Lead Underwriters,0.24330228112370875,0.18378248012256315
1292470,15.0,16.0,16.0,127.0,3.0,3.0,23.07692307692308,23.07692307692308,23.07692307692308,15.0,-2.0,2.0,93.75,1,1,0,above,NIGHTHAWK RADIOLOGY HOLDINGS INC,2006,2006-01-24,2006-02-09,2005-10-05,2006-02-09,2006-02-09,2006/02/09,16.0,18.75,20.649999618530273,22.0,18.010000228881836,4947973.0,17.1875,29.0625,8090,Hlth,-0.15000000596046448,0,0,NASDAQ,Up,1,9.00100040435791,9.0,9.0,1,9.0,8.5+,4.731678009033203,6300000.0,29809572.0,81900000.0,387524436.0,2.2910182826385266,-18.346756836434558,8.500656900309288,-0.7085720989217825,45587587.0,0.0,23.07692307692308,12.333333015441895,1.5633333921432495,15.233333587646484,41.33333206176758,0.18294307879588734,0.0,0.0,0.06098102626529577,1.8201237446517768,0.0,0.0,0.6067079148839256,4.934004324414552,0.0,0.0,1.644668108138184,0.18294307879588734,1.8201237446517768,Search term,1.0,NightHawk Radiology,0.0,23.07692307692308,23.07692307692308,0.0,0,0,2006-08-08,180,5,8,"[12.0, 14.0]",-100.0,True,2.0,4,4,2,Morgan Stanley and Co. Incorporated,Morgan Stanley and Co. Incorporated,1.5713924048435515,0.8201235028945335
1292556,,13.0,13.0,106.0,,-2.0,,-9.523809523809524,-9.523809523809524,13.0,,0.0,100.0,1,0,1,under,"POLYPORE INTERNATIONAL, INC.",2007,2007-06-15,2007-06-28,2007-03-14,2007-06-28,2007-06-28,2007/06/28,19.0,18.0,18.030000686645508,18.5,17.549999237060547,8689700.0,-5.263157844543457,-5.105263233184815,3990,Other,0.3100000023841858,0,0,New York Stock Exchange,None,0,9.00100040435791,9.0,9.0,1,9.0,8.5+,2.68712854385376,15000000.0,40306928.0,315000000.0,846445488.0,0.9467057746695564,401.1589990521328,6.522106379208051,0.05234832086434372,129781000.0,0.0,0.0,16.0,2.720000028610229,10.333333015441896,41.0,-0.1168321194327538,0.0,0.0,-0.03894403981091793,0.025199096504972297,0.0,0.0,0.008399698834990766,1.5436032493232728,0.0,0.0,0.5145344164410909,-0.1168321194327538,0.025199096504972297,Search term,0.0,Polypore,9.523809523809524,0.0,0.0,-9.523809523809524,0,13,2007-12-25,180,7,7,"[20.0, 22.0]",-100.0,True,2.0,3,4,2,J.P. Morgan Securities Inc,J.P. Morgan Securities Inc,0.38342665530711345,0.43278632141046236
1292653,,17.0,17.0,284.0,,2.0,,16.666666666666664,16.666666666666664,17.0,,0.0,100.0,1,1,0,above,"INTELIQUENT, INC.",2007,2007-10-16,2007-11-02,2007-01-22,2007-11-02,2007-11-02,2007/11/02,14.0,18.0,20.280000686645508,20.899999618530273,18.0,5097209.0,28.571428298950195,44.85714340209961,4899,Telcm,-0.17000000178813934,0,0,NASDAQ,None,1,9.00100040435791,8.5,8.5,2,17.0,7+,4.446614265441895,6649928.0,29569664.0,79799136.0,354835968.0,0.42310553570126175,143.13673578055668,9.307661201899117,0.08383592048932313,38123000.0,0.0,0.0,9.666666984558104,-0.2966666519641876,32.233333587646484,40.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Company,0.0,Neutral Tandem,0.0,16.666666666666664,16.666666666666664,0.0,0,0,2008-04-30,180,5,9,"[11.0, 13.0]",-100.0,True,2.0,3,6,2,CIBC World Markets Corp,Multiple Lead Underwriters,0.48462888894493283,0.40843114474780245
1293282,,20.0,20.0,99.0,,0.0,,0.0,0.0,20.0,,0.0,100.0,0,0,0,within,TECHTARGET INC,2007,2007-04-27,2007-05-17,2007-02-07,2007-05-17,2007-05-17,2007/05/17,13.0,14.5,14.789999961853027,15.640000343322756,14.5,5168992.0,11.538461685180664,13.769230842590332,7370,Softw,0.10999999940395357,0,0,NASDAQ Global Market,None,1,9.00100040435791,8.5,8.5,2,17.0,7+,5.072666645050049,7700000.0,39059536.0,100100000.0,507773968.0,0.1206351274519094,1601.8106246056782,27.67914788770782,0.008115815815118745,18345000.0,0.0,0.0,11.333333015441895,0.3766666650772095,11.899999618530273,57.66666793823242,1.2221244635592812,0.0,0.0,0.40737482118642704,4.105911802276339,0.0,0.0,1.368637267425446,2.613896775963121,0.0,0.0,0.8712989253210403,1.2221244635592812,4.105911802276339,Company,0.0,Techtarget,0.0,0.0,0.0,0.0,0,13,2007-11-13,180,6,8,"[12.0, 14.0]",-100.0,True,2.0,3,5,2,Lehman Brothers Inc,Multiple Lead Underwriters,0.1568311193609229,0.14958609561052175
1293310,15.0,16.0,16.0,119.0,-4.5,-5.0,-34.615384615384606,-38.46153846153847,-34.615384615384606,15.0,-1.0,1.0,93.75,2,0,2,under,KALOBIOS PHARMACEUTICALS INC,2013,2013-01-15,2013-01-31,2012-10-05,2013-02-01,2013-01-31,2013/01/31,8.0,8.159999847412111,8.0,8.25,7.619999885559082,1033555.0,2.0,0.0,2836,Drugs,0.2199999988079071,0,0,NASDAQ,Down,1,6.000999927520753,6.0,6.0,1,6.0,0+,2.757472515106201,8750000.0,24127884.0,113750000.0,313662492.0,0.3440483768300446,-26.55456247883509,51.589225657894744,-0.4895580565622746,6080000.0,34.615384615384606,0.0,4.0,2.743333339691162,14.800000190734865,35.66666793823242,-0.26006265205481244,-0.10066382078562912,0.0,-0.1202421576134805,-0.5089707985343375,-0.1148313861823945,0.0,-0.207934061572244,1.3656586061186826,1.8511444416068683,0.0,1.0722676825751836,-0.10066382078562912,-0.1148313861823945,Search term,-1.0,KaloBios,38.46153846153847,0.0,0.0,-34.615384615384606,0,0,2013-07-30,180,3,6,"[12.0, 14.0]",-50.0,True,2.0,4,2,1,Leerink Swann LLC,Leerink Swann LLC,0.2608466982731429,0.12076423311560415
1293971,14.0,15.0,15.0,36.0,2.0,2.0,13.333333333333336,13.333333333333336,13.333333333333336,14.0,-2.0,2.0,93.33333333333331,1,1,0,above,"BLUEBIRD BIO, INC.",2013,2013-06-04,2013-06-19,2013-05-14,2013-06-19,2013-06-19,2013/06/19,17.0,25.5,26.90999984741211,27.0,24.95000076293945,5304091.0,50.0,58.29411697387695,2836,Drugs,0.6000000238418579,1,0,NASDAQ,Up,1,9.00100040435791,8.800000190734863,8.800000190734863,2,17.5,8.5+,3.6810033321380615,5941176.0,21869488.0,89117640.0,328042320.0,0.5762736525072931,-50.1287163814181,291.0757054125998,-0.2992296847553084,1127000.0,0.0,13.333333333333336,15.0,0.9833333492279052,16.633333206176758,44.66666793823242,1.5339649164136315,-0.15593271170217166,0.0,0.4593440682371533,2.065325886628992,-0.1427969527578735,0.0,0.6408429779570395,3.62182485841228,0.32236639182623344,0.0,1.3147304167461709,-0.15593271170217166,-0.1427969527578735,Search term,1.0,bluebird bio,0.0,13.333333333333336,13.333333333333336,0.0,0,9,2013-12-16,180,6,5,"[14.0, 16.0]",-100.0,True,2.0,3,2,1,BofA Merrill Lynch,Multiple Lead Underwriters,1.4667136734891375,0.6688916205186005
1294016,,11.0,11.0,42.0,,1.0,,7.142857142857142,7.142857142857142,11.0,-2.0,2.0,100.0,1,1,0,within,RUCKUS WIRELESS INC,2012,2012-11-05,2012-11-16,2012-10-05,2012-11-16,2012-11-16,2012/11/16,15.0,15.0,12.25,15.0,12.25,10172060.0,0.0,-18.33333396911621,3576,Hardw,-0.33000001311302185,0,0,New York Stock Exchange,None,1,9.00100040435791,9.0,9.0,2,18.0,8.5+,8.77211856842041,8400000.0,73685792.0,117600000.0,1031601088.0,0.5162767186597342,34.580352909627244,6.765085271724518,0.4048541678156896,152489000.0,0.0,0.0,6.333333492279053,-3.213333368301392,15.399999618530273,51.0,2.2244133669737307,-0.2494954217707112,0.038231134493434515,0.6710496932321514,1.283036450414618,0.8968771351612095,3.828393144375746,2.0027689099838577,1.2126632322971191,3.374075259342756,49.92739574370646,18.17137807844877,-0.1056321436386383,2.362635139768478,Wi-Fi company,0.0,Ruckus Wireless,0.0,7.142857142857142,7.142857142857142,0.0,0,38,2013-05-15,180,8,4,"[13.0, 15.0]",-100.0,True,2.0,2,2,1,"Goldman, Sachs and Co",Multiple Lead Underwriters,0.31984527509406774,0.3379585773434369
1294133,,10.0,10.0,79.0,,-1.0,,-5.882352941176473,-5.882352941176473,10.0,,0.0,100.0,1,0,1,within,INOGEN INC,2014,2014-02-04,2014-02-14,2013-11-27,2014-02-14,2014-02-14,2014/02/14,16.0,16.0,15.149999618530273,16.120000839233402,14.779999732971193,3611542.0,0.0,-5.3125,3845,MedEq,-0.2800000011920929,1,0,NASDAQ,None,1,9.00100040435791,9.0,9.0,1,9.0,8.5+,4.0910935401916495,4411763.0,18048936.0,74999971.0,306831912.0,0.4381551707140745,88.57734180138569,5.51053163556689,0.19192267067709687,55681000.0,0.0,0.0,14.666666984558105,1.8866666555404663,20.36666679382324,26.66666603088379,1.4815021922052432,0.0,0.0,0.4938340640684144,2.984636143752341,0.0,0.0,0.9948787145841136,1.8294948896575216,0.0,0.0,0.6098316298858406,1.4815021922052432,2.984636143752341,Search term,0.0,Inogen,5.882352941176473,0.0,0.0,-5.882352941176473,0,0,2014-08-13,180,5,7,"[16.0, 18.0]",-100.0,True,2.0,3,4,3,J.P. Morgan Securities LLC,J.P. Morgan Securities LLC,0.8998422083898934,0.5379591062525109
1294924,103.0,112.0,112.0,506.0,-1.75,-2.0,-18.421052631578945,-21.052631578947366,-18.421052631578945,103.0,-0.5,0.5,91.96428571428572,2,0,2,under,INVENSENSE INC,2011,2011-07-27,2011-11-16,2010-06-28,2011-11-16,2011-11-16,2011/11/16,7.5,8.300000190734862,8.899999618530273,9.43000030517578,8.25,7048780.0,10.666666984558104,18.66666603088379,3674,Chips,-0.019999999552965164,0,0,New York Stock Exchange,Down,1,9.00100040435791,9.0,9.0,2,18.0,8.5+,7.9322686195373535,10000000.0,79322688.0,95000000.0,753565536.0,0.1943173821252639,36.7969889154744,9.579912993732599,0.2581732984136897,78661000.0,18.421052631578945,0.0,9.666666984558104,-3.5966665744781494,16.83333396911621,51.66666793823242,2.466346785771879,-0.08164761683301043,0.0,0.7948997229796227,1.3499362945708049,3.6964767324755012,0.0,1.6821376756821018,0.7743736937931471,49.72897762487656,0.0,16.83445043955657,-0.08164761683301043,3.6964767324755012,Company,-1.0,Invensense,21.052631578947366,0.0,0.0,-18.421052631578945,0,26,2012-05-14,180,6,6,"[8.5, 10.5]",-25.0,True,2.0,3,3,1,"Goldman, Sachs and Co",Multiple Lead Underwriters,0.7937883848986453,0.9286118672513292
1295230,52.0,54.0,54.0,250.0,2.0,3.0,13.333333333333336,20.0,13.333333333333336,52.0,0.0,0.0,96.29629629629628,2,2,0,above,"INTERNATIONAL SECURITIES EXCHANGE HOLDINGS, INC.",2005,2005-01-14,2005-03-09,2004-07-02,2005-03-09,2005-03-09,2005/03/09,18.0,25.75,30.399999618530273,30.989999771118164,25.29999923706055,15514000.0,43.05555725097656,68.88888549804689,6200,Fin,-0.18000000715255735,0,0,New York Stock Exchange,Up,0,9.00100040435791,8.5,8.5,2,17.0,7+,3.656084060668945,10049308.0,36741116.0,150739620.0,551116740.0,0.5412802189448077,21.06473798876276,4.39581680266086,0.7120905091723397,125373000.0,0.0,13.333333333333336,14.333333015441895,3.640000104904175,15.466666221618652,55.66666793823242,0.0009707650767026984,0.0,0.0020244085792903623,0.0009983912186643537,0.612202922511045,0.0,0.41641270500520416,0.3428718758387497,3.5329966881596184,0.0,4.209557452658227,2.5808513802726147,0.0020244085792903623,0.41641270500520416,Corporation,1.0,International Securities Exchange,0.0,20.0,13.333333333333336,0.0,0,0,2005-09-05,180,11,10,"[14.0, 16.0]",0.0,True,2.0,6,4,4,"Bear, Stearns and Co. Inc",Multiple Lead Underwriters,1.3525416814279696,0.44598654688230194
1295557,,16.0,16.0,91.0,,6.0,,37.5,37.5,16.0,0.0,0.0,100.0,1,1,0,above,BARE ESCENTUALS INC,2006,2006-09-13,2006-09-29,2006-06-30,2006-09-29,2006-09-29,2006/09/29,22.0,28.0,27.149999618530273,29.10000038146973,26.989999771118164,10728560.0,27.272727966308594,23.409090042114247,2844,Hshld,-0.33000001311302185,0,0,NASDAQ,None,1,9.00100040435791,8.5,8.5,2,17.0,7+,5.439255714416504,16000000.0,87028096.0,256000000.0,1392449536.0,6.221014372489793,55.680163787587965,7.482265104782375,0.2873554765578233,186100000.0,0.0,0.0,6.0,2.93666672706604,8.666666984558105,39.0,0.7344814930096265,-6.0246946320674495e-15,0.0,0.2448271643365401,1.0373876865832976,9.040402974835882e-15,0.0,0.34579589552776885,-0.9765647649347416,-0.6294947250110864,0.0,-0.5353531633152759,-6.0246946320674495e-15,9.040402974835882e-15,Company,0.0,Bare Escentuals,0.0,37.5,37.5,0.0,0,9,2007-03-28,180,7,6,"[15.0, 17.0]",-100.0,True,2.0,2,4,1,CIBC World Markets Corp,Multiple Lead Underwriters,0.7593819855645777,0.7715957490810851
1295947,,15.0,15.0,91.0,,1.0,,6.666666666666668,6.666666666666668,15.0,,0.0,100.0,1,1,0,within,"PRESTIGE BRANDS HOLDINGS, INC.",2005,2005-01-26,2005-02-10,2004-11-12,2005-02-11,2005-02-10,2005/02/10,16.0,17.5,17.75,18.010000228881836,17.0,12701300.0,9.375,10.9375,5122,Whlsl,-0.18000000715255735,0,0,New York Stock Exchange,None,0,9.00100040435791,6.0,6.0,3,18.0,0+,1.7857142686843872,28000000.0,50000000.0,420000000.0,750000000.0,0.8013975601577594,54.81254110940584,3.3339704921384974,0.27366,224957000.0,0.0,0.0,14.333333015441895,3.869999885559082,15.466666221618652,55.66666793823242,0.02600174642803959,0.0,0.0,0.00866724880934653,0.4052509070250651,0.0,0.0,0.13508363567502168,2.3679795340836147,0.0,0.0,0.7893265113612049,0.02600174642803959,0.4052509070250651,Company,0.0,Prestige Brands Holdings,0.0,6.666666666666668,6.666666666666668,0.0,0,0,2005-08-09,180,10,7,"[14.0, 16.0]",-100.0,True,2.0,3,4,2,"Goldman, Sachs and Co",Multiple Lead Underwriters,0.27595108262154006,0.12515590277729685
1295976,,14.0,14.0,98.0,,-3.0,,-18.75,-18.75,14.0,,0.0,100.0,1,0,1,under,"CELLU TISSUE HOLDINGS, INC.",2010,2010-01-08,2010-01-22,2009-10-16,2010-01-22,2010-01-22,2010/01/22,13.0,12.300000190734865,11.899999618530273,12.56999969482422,11.75,3669899.0,-5.384615421295166,-8.461538314819336,2621,Paper,-0.07000000029802322,0,0,New York Stock Exchange,None,0,9.00100040435791,9.0,9.0,2,18.0,8.5+,2.4244544506073,8300000.0,20122972.0,132800000.0,321967552.0,0.8319815869590597,45.80983474072862,0.8322328946800812,0.3492699786095215,386871937.0,0.0,0.0,5.666666507720947,2.7733333110809326,3.5,13.333333015441895,2.220446049250313e-16,0.025349678317879768,0.0,0.008449892772626663,-4.662936703425658e-15,0.10667609469000976,0.0,0.0355586982300017,3.086420008457935e-14,0.5427426692201633,0.0,0.18091422307339808,0.025349678317879768,0.10667609469000976,Company,0.0,Clearwater Paper Corporation,18.75,0.0,0.0,-18.75,0,0,2010-07-21,180,6,6,"[15.0, 17.0]",-100.0,True,2.0,2,4,1,"Goldman, Sachs and Co",Multiple Lead Underwriters,0.29303626055490145,0.21720036832381326
1296391,23.0,23.0,23.0,109.0,-4.0,-4.0,-44.444444444444436,-44.444444444444436,-44.444444444444436,23.0,-2.0,2.0,100.0,1,0,1,under,TENGION INC,2010,2010-03-17,2010-04-09,2009-12-24,2010-04-12,2010-04-09,2010/04/09,5.0,5.0,5.019999980926514,5.239999771118164,5.0,790313.0,0.0,0.4000000059604645,2836,Drugs,0.019999999552965164,0,0,NASDAQ,Down,1,7.500999927520753,6.800000190734862,6.800000190734862,2,13.5,0+,2.0589227676391597,6000000.0,12353536.0,54000000.0,111181824.0,0.7356913602582152,-3.725303732252157,0.0,-2.4159103919719827,0.0,44.444444444444436,0.0,6.666666507720947,1.1366666555404663,3.2999999523162837,16.66666603088379,0.17909637461908734,0.0,0.030018523465595942,0.06970496602822776,1.8678344813199828,0.0,1.270290185912094,1.0460415557440257,4.408568903350721,0.0,2.663770736724389,2.3574465466917043,0.030018523465595942,1.270290185912094,Company,-1.0,Tengion,44.444444444444436,0.0,0.0,-44.444444444444436,0,23,2010-10-06,180,2,8,"[8.0, 10.0]",-100.0,True,2.0,4,4,2,Leerink Swann LLC,Multiple Lead Underwriters,0.189796156178148,0.17116074316267732
1297184,,12.0,12.0,36.0,,-4.0,,-36.36363636363637,-36.36363636363637,12.0,-2.0,2.0,100.0,1,0,1,under,"AMPHASTAR PHARMACEUTICALS, INC.",2014,2014-06-13,2014-06-25,2014-05-20,2014-06-25,2014-06-25,2014/06/25,7.0,7.0,8.75,8.949999809265137,6.670000076293945,4158688.0,0.0,25.0,2834,Drugs,-0.10000000149011612,0,0,NASDAQ,None,0,8.00100040435791,7.199999809265138,7.199999809265138,3,21.5,7+,5.4257426261901855,8000000.0,43405940.0,88000000.0,477465340.0,0.2711230364899206,-294.913736874614,10.409098321342926,-0.03729904248128252,45870000.0,0.0,0.0,18.0,1.503333330154419,11.399999618530273,22.66666603088379,-0.4233146887922829,-0.3362118785377432,0.0,-0.25317552244334196,0.8306927125986181,0.9851712635558224,0.0,0.6052879920514802,49.744321327571896,49.90107774639834,0.0,33.21513302465674,-0.3362118785377432,0.9851712635558224,Search term,0.0,Amphastar Pharmaceuticals,36.36363636363637,0.0,0.0,-36.36363636363637,0,10,2014-12-22,180,4,6,"[10.0, 12.0]",-100.0,True,2.0,3,3,1,BMO Capital Markets Corp,Multiple Lead Underwriters,,
1297336,,17.0,17.0,149.0,,-5.0,,-27.777777777777786,-27.777777777777786,17.0,,0.0,100.0,1,0,1,under,REACHLOCAL INC,2010,2010-05-03,2010-04-20,2009-12-22,2010-05-20,2010-05-20,2010/05/20,13.0,12.0,14.979999542236328,15.260000228881836,11.859999656677244,1264729.0,-7.692307472229004,15.230769157409668,7370,Softw,-0.2199999988079071,0,0,NASDAQ,None,1,9.00100040435791,8.800000190734863,8.800000190734863,2,17.5,8.5+,6.513187885284424,4166667.0,27138284.0,75000006.0,488489112.0,0.593099644443569,-216.7209902395741,7.677507811272122,-0.0830560989044112,63626000.0,0.0,0.0,9.333333015441896,-0.9499999880790708,7.633333206176758,20.33333396911621,0.15398015739248996,-0.10044542191806533,0.0,0.017844911824808213,0.18011803686812244,0.5034556199590646,0.0,0.22785788560906234,-1.3025559483497988,0.4996128554825962,0.0,-0.2676476976224009,-0.10044542191806533,0.5034556199590646,Advertising Agencies Business,0.0,ReachLocal,27.777777777777786,0.0,0.0,-27.777777777777786,0,19,2010-10-18,180,6,7,"[17.0, 19.0]",-100.0,True,2.0,3,4,2,BofA Merrill Lynch,Multiple Lead Underwriters,0.8727319176012762,0.23047776465420677
1297627,,20.0,20.0,20.0,,2.0,,9.302325581395348,9.302325581395348,20.0,,0.0,100.0,1,1,0,above,SAIFUN SEMICONDUCTORS LTD.,2005,2005-10-21,2005-11-10,2005-10-21,2005-11-10,2005-11-10,2005/11/10,23.5,35.0,32.335498809814446,35.4900016784668,31.5,2189948.0,48.9361686706543,37.59787368774414,3674,Chips,0.3400000035762787,0,1,NASDAQ,None,1,9.00100040435791,8.5,8.5,2,17.0,7+,5.739503383636475,5000000.0,28697516.0,107500000.0,616996594.0,0.5190264281173372,24.587415079301824,13.75382510031208,0.8744310831641317,44860000.0,0.0,0.0,17.0,-2.2300000190734863,9.366666793823242,37.33333206176758,1.0847846397434473,9.65810745108799,0.0,3.580964030277145,-0.4220070329493428,11.671503905555944,0.0,3.7498322908688655,-2.1753824253602807,11.671503905555944,0.0,3.165373826731888,9.65810745108799,11.671503905555944,Semiconductor manufacturing company,0.0,Spansion,0.0,9.302325581395348,9.302325581395348,0.0,0,22,2006-05-09,180,5,3,"[20.5, 22.5]",-100.0,True,2.0,2,1,1,Deutsche Bank Securities Inc,Multiple Lead Underwriters,1.5372201281859408,1.0069073641601776
